Input,Output
A delay of 5 minutes is necessary before continuing with the test.,An interval of 5 minutes is necessary before you continue the test.
The jaws of the uplock unit must open with no delay.,The jaws of the uplock unit must open immediately.
Delete the flight data from the tape.,Erase the flight data from the tape.
Delete the pencil marks with an eraser.,Remove the pencil marks with an eraser.
Be careful with delicate parts.,Be careful with easily damaged parts.
Set rig so that it delivers a pressure of 800 kPa.,Set the rig to supply a pressure of 800 kpa.
This configuration demands a different test procedure.,"In this configuration, a different test procedure is mandatory."
Do not dent bellows.,Do not make dents in the bellows.
Flush pipes to remove deposits.,Flush the pipes to remove contamination.
Press button to deselect freeze mode.,Push the button to cancel the freeze mode.
The main landing gear doors are designed with steps for access to landing gear bay.,The main landing gear doors have steps for access to the landing gear bay.
Add the desired quantity of oil.,Add the necessary quantity of oil.
Tighten the turnbuckle until you have the desired tension in the cable.,Tighten the turnbuckle until you have the correct tension in the cable.
"To avoid further use, destroy the container.",Make the container unserviceable to make sure that you cannot use it again.
Detach pipeline from union.,Disconnect the pipeline from the union.
Do not detach protective film.,Do not remove the protective layer.
This section details Removal / Installation instructions.,This section gives the removal / installation instructions.
Do the leak test as detailed in paragraph 4.0.,Do the leak test (refer to paragraph 4.0).
The computer detects discrepancies between the signals.,The computer senses the differences between the signals.
Determine which hydraulic system you will pressurize.,Select the hydraulic system that you will pressurize.
"Light surface blooming, which can occur on items in storage is not detrimental to the component.","Small quantities of surface blooming, which can occur on items in storage, do not cause damage to the component."
"If a fire develops, operate the fire shutoff valve.","If a fire starts, operate the fire shutoff valve."
Personnel must not deviate from the this procedure.,Personnel must obey this procedure.
"If the holding fixture is not available, devise one from the shipping container.","If the holding fixture is not available, make a support from the shipping container."
Devise new troubleshooting procedures.,Find new troubleshooting procedures.
Ensure the two diametrically opposed V-grooves are in line with the rails.,Make sure that the two opposite V-grooves align with the rails.
Letters are used to differentiate between the wire segments.,Letters identify the wire segments.
"If rigging pin is difficult to install, adjust length of rod.","If you cannot install the rigging pin easily, adjust the length of the rod."
"If there is difficulty in removing the bolt, apply penetrant oil.","If you cannot remove the bolt easily, apply penetrant oil."
"If there is difficulty in removing the bolt, apply penetrant oil.","If it is not easy to remove the bolt, apply penetrant oil."
Check that the reticle brightness dims gradually until it disappears.,Make sure that the intensity of the reticle light decreases gradually to zero.
Direct open end of drain hose away from structure.,Point the open end of the drain hose away from the structure.
Horizontal bar disappears from window.,The horizontal bar goes out of view.
The unwanted air discharges overboard.,The unwanted air goes overboard.
"If corrosion is discovered during the inspection, it must be removed.","If you find corrosion during the inspection, remove it."
Disinfect the mask assemblies.,Use disinfectant to clean the mask assemblies.
Blow through tubes to disperse residual fluid.,Blow through the tubes to remove the remaining fluid.
Fluid is displaced by the piston.,The piston moves the fluid.
Check the disposition of fire extinguishers before you start the engines.,Make sure that the fire extinguishers are in their correct locations before you start the engine.
Obey the dispositions of the manufacturer when you use the solvent.,Obey the instructions of the manufacturer when you use the solvent.
Do not distort the piping when turning the connectors.,Do not twist the pipe when you turn the connectors.
Distribute the load evenly over the area.,Apply the load equally on the area.
Do not disturb the timing during distributor installation.,Do not move the timing when you install the distributor.
Don mask and breathe through it to check oxygen supply.,Put the mask on and breathe through it to make sure that the oxygen supply is correct.
Double marks must appear on the stand.,You must see two marks on the stand.
"If you are in doubt about the results, repeat the test.","If you think the results are incorrect, do the test again."
Drag the wires through the conduit.,Pull the wires through the conduit.
Draw a line on the blade.,Make a line on the blade.
Dress suitably before entering fuel tank.,Put on the correct clothing before you go into the fuel tank.
Do not drink the solvent.,Do not swallow the solvent.
"If you do not install the rigging pin, the elevators will droop when there is no pressure in the system","If you do not install the rigging pin, the elevators will move down when there is no pressure in the system."
Particles that drop into the intake may cause damage.,Particles that fall into the intake can cause damage.
"Due to the hole small diameter, the flow value is low.","Because of the small diameter of the hole, the flow value is low."
Letters will be dull black on white background.,The letters will be matt black on white.
Do not make adjustments for the duration of this test.,Do not make adjustments during this test.
Dust area with talcum powder.,Apply talcum powder to the area.
"If the filters clog at an unusually early stage, send them to the laboratory for analysis of the contamination.","If the filters become clogged after an unusually short time, send them to the laboratory for analysis of the contamination."
Make sure the electric supply goes to earth.,Make sure that the electrical supply goes to ground.
The handle must be moved with ease.,Make sure that you can move the handle easily.
Ease trim cover from adhesive tape.,Carefully remove the trim cover from the adhesive tape.
Ease the pipe into the right position.,Carefully move the pipe into the correct position.
Do not eat the potting compound.,Do not swallow the potting compound.
This is an efficacious way to remove paint.,This is a good procedure to remove paint.
Ensure that there are safety barriers around the engine efflux area.,Make sure that there are safety barriers around the engine exhaust area.
Make an effort to move the control column.,Try to move the control column.
Apply electrical power to either of the solenoids.,Apply electrical power to one of the two solenoids.
Put a bag of desiccant in the package to eliminate condensation.,Put a bag of desiccant in the package to stop condensation.
The vapors that this material emits are dangerous to the skin.,The fumes from this material are dangerous to the skin.
The disassembly fixture enables you to disassemble the module.,The disassembly fixture lets you disassemble the module.
The work area must be well-ventilated if solvent is used in an enclosed space.,"If you use solvent in a closed space, make sure that there is good airflow in the work area."
"If rough spots are encountered, remove them with emery cloth.","If there are rough areas, remove them with emery cloth."
"When the test has ended, remove sensor.","After you complete the test, remove the sensor."
"When the test has ended, remove sensor.","When the test is completed, remove the sensor."
Safety precautions must be strictly enforced.,All personnel must obey the safety precautions.
Make sure there is full engagement of the splines.,Make sure that the splines engage fully.
Enlarge rivet hole diameter.,Increase the diameter of the rivet hole.
Make sure that there is enough pressure in the accumulator.,Make sure that there is sufficient pressure in the accumulator.
Damage will ensue from incorrect installation.,Incorrect installation will cause damage.
Ensure that correct seals are installed.,Make sure that the correct seals are installed.
Do not enter the engine test area without approval.,Do not go into the engine test area without approval.
Enter the data in the logbook.,Record the data in the logbook.
Scan the entire range of frequencies available.,Make a scan of the full range of frequencies available.
Be careful when handling jet pipes or exhaust cones equipped with insulating blankets.,Be careful when you move jet pipes or exhaust cones that have insulating blankets.
Erect the movable hoist before lifting the gearbox.,Assemble the movable hoist before you lift the gearbox.
Give the vertical gyro time to erect.,Let the vertical gyro become stable
Allow all the nitrogen to escape.,Release all the nitrogen.
Evaluate damage after an accident.,Examine the damage after an accident.
Allow the solvent to evaporate from the compound,Let the compound dry.
Make sure that the fastener heads are even with the skin.,Make sure that the fastener heads are flush with the skin.
Make sure that the mark on the bolt is even with the mark on the handle.,Make sure that the mark on the bolt is level with the mark on the handle.
"In the event of a sudden dropping of pressure, close the valve.","If the pressure decreases suddenly, close the valve."
Do an inspection every 20 000 flight hours.,Do an inspection at intervals of 20 000 flight hours.
Evidence of a leak of hot air from a joint is that the temperature reading drops.,One sign of a leak of hot air from a joint is that the temperature indication decreases.
"If no fault is evidenced by the test, continue the procedure.","If the test shows no fault, continue the procedure."
"If the inspection does not evidence any damage, assemble the unit.","If you do not find damage during the inspection procedure, assemble the unit."
Put the repair sheet exactly on the damaged area.,Put the repair sheet accurately on the damaged area.
"If the examination reveals corrosion, it must be removed with the specified material.","If you find corrosion, remove it with the specified material"
Ensure indication does not exceed 400 knots.,Make sure that the indication is not more than 400 knots.
Keep all parts with the exception of those that are broken.,Keep all the parts that are serviceable and discard those that are broken
"If exceptional force is needed to open the unit, examine the control linkage.","If you must apply an unusual force to open the unit, examine the control linkage."
"If the tire pressure is exceptionally high, open the valve.","If the tire pressure is unusually high, open the valve."
Do not put excess weight on the trolley.,Do not put more than the permitted weight on the trolley.
An excess of paint will give a poor finish.,"If you use too much paint, the finish will be unsatisfactory."
The hydraulic pressure must not be in excess of 200 bars.,The hydraulic pressure must not be more than 200 bars.
"If the pressure is excessive, stop the test.","If the pressure is more than 1000 kPa, stop the test."
Be careful not to excessively rotate the inner races.,Be careful not to turn the inner races too much.
Exchange the O-rings,Replace the O-rings.
This procedure excludes the removal of the piston.,This procedure does not include the removal of the piston.
"The weight of the unit, excluding the pump, is 10 kg.","The weight of the unit, without the pump, is 10 kg."
Execute the following operations.,Do these steps.
Ensure the seals are exempt from signs of deterioration.,Make sure that the seals do not show signs of deterioration.
Exercise caution not to allow acid to contact skin.,Be careful not to get acid on your skin.
Do not exert pressure on aft flange.,Do not apply pressure to the aft flange.
Exhaust the nitrogen pressure to 120 psi.,Decrease the nitrogen pressure to 120 psi.
An exhaustive list of test conditions is given at paragraph 2.0.,All the test conditions are given in paragraph 2.0.
Two different procedures exist for this repair.,There are two different procedures for this repair.
Expel the air from the compound with a spatula.,Remove the air from the compound with a spatula.
Explain to the ground crew that you will operate the system.,Tell the ground crew that you will operate the system.
Measure the extent of the crack.,Measure the depth of the crack.
This material provides extra protection.,This material gives more protection.
"In extreme weather conditions, keep these parts in a dry area.","When the weather is very bad, keep these parts in a dry area."
Make sure fresh grease exudes from the joint.,Make sure that new grease comes out of the joint.
Use copper to fabricate the chill block.,Use copper to make the chill block.
"When installing the pitot head, make sure that the opening is facing forward.","When you install the pitot head, make sure that the opening points forward."
Face away from the drain valve when pressing the valve stem.,Turn your face away from the drain valve before you push the valve stem
Mark the component with a code that will facilitate its correct reinstallation.,Identify the component with a code to help you install it again correctly.
You need a special facility to weigh the aircraft.,Weigh the aircraft on a weighbridge.
"If you fail to comply with these instructions, there is a risk of injury.","If you do not obey these instructions, there is a risk of injury."
"If the light is faint, replace the battery.","If the light is too dim, replace the battery."
Make sure that the generator does not falter.,Make sure that the generator operates smoothly.
Do not let the cabin altitude change too fast.,Do not let the cabin altitude change too quickly.
Fasten the hose to the test equipment.,Connect the hose to the test equipment.
High voltage in the electronic system can be fatal.,High voltage in the electronic system can kill you.
Faulty adjustment of pressure regulator can be dangerous.,An incorrect adjustment of the pressure regulator can be dangerous.
"Test the unit, if you fear that there is a problem with its operation.",Do a test of the unit to make sure that there is no problem with its operation.
Tighten the bolts manually if it is not feasible to do it with the specified tool.,Tighten the bolts manually if you cannot do it with the specified tool.
This procedure is only for repairs that include very few rivets.,This procedure is only for repairs that include a very small number of rivets.
Spread a film of compound on the surface of the disc.,Apply a layer of compound on the surface of the disc.
Filter the oil.,Put the oil through a filter.
Report the findings of the analysis to the quality department.,Tell the quality department about the results of the analysis.
Only particles finer than 5 microns can go through the filter.,Only particles smaller than 5 microns can go through the filter.
Fix the retainer bolts to the retainer.,Install the retainer bolts on the retainer.
Make sure that you do not flatten the tubes.,Make sure that you do not cause the tubes to become flat.
Make sure that there are no flaws in the surface finish.,Make sure that the surface finish is not defective.
Disconnect the cable from the back side of the instrument.,Disconnect the cable from the rear side of the instrument.
Use some backup screws to assemble the unit temporarily.,Use some auxiliary screws to assemble the unit temporarily.
Move the lever backward.,Move the lever rearward.
All personnel must be aware of the effect.,Tell all personnel about the effect.
The failed engine is free to autorotate.,The defective engine is free to turn.
The warning is given aurally in the cockpit.,You can hear the warning in the cockpit.
If you get the spray in the eyes you must seek medical attention.,"If you get the spray in your eyes, get medical aid."
Pay attention when you remove the control unit.,Be careful when you remove the control unit.
"When 28 volts DC is attained, the relay closes.","When the voltage is 28 volts dc, the relay closes."
Do steps 13 thru 16 at least three times.,Do steps 13 thru 16 for a minimum of three times.
Remove the bolt and associated washer.,Remove the bolt and its washer.
Remove the eight bolts and associated washers.,Remove the eight bolts and their washers.
Retain the data to assist later stages,Keep the data to help you with subsequent procedures.
Assess the quantity of fuel needed.,Calculate the quantity of fuel necessary.
Assess the damage,Make an estimate of the damage.
"As you do the valve test, make sure that there is no leakage.","While you do each step of the valve test, make sure that there is no leakage."
Ensure that there are no loose articles in the engine air intakes.,Make sure that there are no loose objects in the engine air intakes.
Arrest the pressure flow for 10 seconds.,Stop the pressure flow for 10 seconds.
Make sure that the reading on the gauge is genuine.,Make sure that the indication on the gauge is correct.
Be careful when you get down the ladder from the cockpit into the avionics compartment.,Be careful when you go down the ladder from the cockpit to the avionics compartment.
"When the temperature of the ventilation air gets to 27 °C, the discharge valve opens.","When the temperature of the ventilation air increases to 27 °c, the discharge valve opens"
Seawater can give rise to corrosion.,Seawater can cause corrosion.
Glue the protective plate to the surface.,Attach the protective plate to the surface with adhesive material.
Grab the handle.,Hold the handle.
A great amount indicates incorrect setting of the float switch.,A large quantity indication shows incorrect adjustment of the float switch.
Take the greatest care when you release the pressure.,Be very careful when you release the pressure.
Grip the handle lightly with one hand.,Hold the handle lightly with one hand.
Make sure that switches are guarded.,Make sure that the guards are installed on the switches.
Do not open the cargo door if the wind gusts more than 50 kph.,Do not open the cargo door if there are gusts of wind of more than 50 kph.
Check that deviation in pitch is halved.,Make sure that the pitch decreases to half its value.
Install the filter case hand-tight.,Install the filter case and tighten it with your hand.
Harmonize the positions of the valves.,Make the positions of the valves agree.
Oil should be heated to 40 C.,Increase the temperature of the oil to 40 C.
You must obtain medical help as soon as you can.,Get medical aid immediately.
The valve must operate without hesitation,The valve must operate correctly.
Toluene is highly flammable.,Toluene is very flammable.
Make sure that you have a tight hold on the rod.,Make sure that you hold the rod tightly.
Hook the sling on the shackle.,Put the sling on the shackle.
"To remove the paint stripper, flush the surface with huge quantities of water.","To remove the paint stripper, flush the surface with large quantities of water."
Adjust the potentiometer until the loudspeaker no longer hums,Adjust the potentiometer until you do not hear a hum from the loudspeaker.
Check the speedbrake for immediate retraction.,Make sure that the speedbrake retracts immediately.
The life of the unit is impaired if the unit is allowed to get dirty.,The life of the unit will decrease if you let the unit become dirty.
The implementation of the procedure in this Service Bulletin is mandatory.,It is mandatory to do the procedure in this service bulletin.
"If you have the impression that a tire has low pressure, do the steps that follow:","If you think that a tire has low pressure, do the steps that follow:"
Improper adjustment of the stop bolts on the rudder pedals can cause damage.,Incorrect adjustment of the stop bolts on the rudder pedals can cause damage.
Inadvertent operation of the system could cause fatal injuries.,Accidental operation of the system can kill you.
"If the tank is inadvertently overfilled, open the drain valve.","If you accidentally put too much fuel in the tank, open the drain valve."
Do not substitute plain nuts for self-locking nuts.,Do not replace the self-locking nuts with plain nuts.
Make certain there is adequate support for the item before disconnecting it.,Put a support below the item before you disconnect it.
Support switch and remove screws.,Hold the switch and remove the screws.
"If the cable catches, suspend all operations.","If the cable catches, stop the procedure"
Talk into the microphone.,Speak into the microphone
Make sure the cables are taut.,Make sure that the tension in the cables is correct
Tension cables to the correct value.,Adjust the tension in the cables to the correct value
Functionally test warning system.,Do a functional test of the warning system.
Add solvent to thin the paint.,Add solvent to make the paint more liquid
Thread lock nut on fitting.,Turn the lock nut on the fitting.
The thickness of the shim is thus calculated: T=X-Y.,Calculate the thickness of the shim as follows: T=X-Y.
Tie threading cord to new cable.,Attach the threading cord to the new cable.
Move the lever till it hits the stop.,Move the lever until it touches the stop.
"To install the indicator, tip it rearward.","To install the indicator, tilt it rearward."
Top up hydraulic system as necessary.,Fill the hydraulic system as necessary.
Top up hydraulic reservoir as necessary.,Add fluid to the hydraulic reservoir as necessary.
This compound is toxic.,This compound is poisonous
Trace the broken wire. ,Find the broken wire.
Trim the patch to fit.,Cut the patch to the correct dimension.
"If you are unauthorized, do not do this engine test.","If you are not approved to do this work, do not do this engine test."
Unclip the visor.,Remove the visor from the clip.
Avoid uneven fuel load about the aircraft centerline.,Make sure that the fuel load is equal on each side of the aircraft centerline.
Unplug soldering iron. ,Disconnect the soldering iron.
"Do not use your hands to prevent movement of the LP compressor. If you do, you can cause injury to yourself and damage to the equipment.","Do not use your hands to prevent movement of the LP compressor. If you do, the LP compressor can cause you injury and can cause damage to the equipment."
Wrap the part in oilpaper,Put the part in oilpaper.
